nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
love come thru,Come Go With Me,syren,Ashaye,0.4828,0.5455
il ne dira pas,Il ne dira pas - Single Edit (2021 Remaster),etienne daho,Étienne Daho,0.4828,0.9167
them changes,The Woman's Touch,thunder cat,The Cigarettes,0.4828,0.56
a fluor,A flúor - Versión maxi,derribos arias,Derribos Arias,0.4828,1.0
me & the moon,Faking The Books,alice phobe lou,Lali Puna,0.4828,0.5
lost children,Un soir un chien,veronica mickie,Les Rita Mitsouko,0.4828,0.5
untitled,Put a Little Away,unknown artist,Innovations,0.48,0.56
love dons,Alone - Paradise,unknown artist,Don Carlos,0.48,0.5
alpha centauri,Accidentals,ronald laangestraat,Broadcast,0.48,0.5
the good thing,In The Wind,misha panfilov,Misha Panfilov,0.48,1.0
going on,Opening up to You,ray peralta,Laura Allan,0.48,0.5455
i'm just beginning to live,The Morning of Our Lives,jonathan richman and the modern lovers,Jonathan Richman & The Modern Lovers,0.48,0.9459
thinking of you,Inside Out,jeremiah r,Jesse Rae,0.48,0.5263
boy i can dance,Confidence,palmbomen ii,Mode I/Q,0.48,0.5
tongue,Tongue - Remastered,r.e.m.,R.E.M.,0.48,1.0
love machine,Love Machine - im:Takt Remix Club Edit,supermax,Supermax,0.48,1.0
incendiary,Late One Sunday,the euphoria case,The American Analog Set,0.48,0.55
sandy skies,It's Only Life,garbage & the flowers,The Feelies,0.48,0.5
dolla bill (,Don't Tell Me,manson family,Madonna,0.48,0.5
the black door,On The Roof,cole berliner,The Feelies,0.48,0.5
rose and thorn,On The Roof,13th floor elevations,The Feelies,0.48,0.5
don't you know,On The Roof,the moonlighters,The Feelies,0.48,0.5926
my thing,Something Strange,deborah glasgow,Doug Ashdown,0.48,0.5185
il prend le train ce soir,Mind Playing Tricks on Me,kekko bravo,Geto Boys,0.48,0.5
bless those,Bless Those (Little Annie's Prayer),little annie,Little annie,0.4783,1.0
donna air,SOMALIA PARK,dean blunt,Dean Blunt,0.4762,1.0
untitled,Haunted House,"skee mask,",Lee Oskar,0.4762,0.5263
the crystals,Fox Tales,no one ever tells you,Jon Iverson,0.4762,0.5
heavy rock,On The Roof,the revolutionaires,The Feelies,0.4762,0.6
heaven,The Great Curve,talking heads,Talking Heads,0.4762,1.0
sunday,I Found My Baby,the apryl fool,The Gap Band,0.4762,0.5385
tiny demons,Hangin' On,todd rungren,Al Green,0.4762,0.5
indian summer,informer,opal,oakland,0.4762,0.5455
i'm so tired,I'll Stay,fugazi,Funkadelic,0.4762,0.5
secret streets,Express,steve,52nd Street,0.4762,0.5
touch me (all night long),Goodnight Tonight,"wish,",Wings,0.4762,0.6
summerdays,Documentary,dreamworld,Reymour,0.4762,0.5882
cosmic dancer,Main Man,"t. rex,",Marc Bolan;T. Rex,0.4762,0.5
the letter,On The Roof,the medalions,The Feelies,0.4762,0.6667
a day laye,Mystic Lady,t.rex,T. Rex,0.4762,0.9091
in time,It's Only Life,the pentangle,The Feelies,0.4762,0.5833
coffee time,Wintertime,d-tune,D-Sire,0.4762,0.5
y tymhorau,In the Rain,ffenestri,Ernest Ranglin,0.4762,0.6087
in the disko,Rain Down,p.t.a.t.c.c.o.,a.s.o.,0.4762,0.5
keep on walkin',Talkin,cece peston,Vee Gees,0.4762,0.5263
boilng boy (10:20 version),Strange - 2006 Remastered Version,wire,Wire,0.4746,1.0
