nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
moon please,"Moon, Please",go kurosawa,Go Kurosawa,0.9565,1.0
dreamweaver,Dream Weaver,gary wright,Gary Wright,0.9565,1.0
hurtin kind,Hurtin’ Kind,the bittersweets,The Bittersweets,0.9565,1.0
"ja, deine liebe ist susser als wein","Ja, deine liebe ist süßer als wein",popol vuh,Popol Vuh,0.9565,1.0
is this all?,Is This All,bobbi humphrey,Bobbi Humphrey,0.9565,1.0
qu es esto?,qué es esto?,margaroth,margaroth,0.9565,1.0
rage love strange love i,Rage Love Strange Love,ugne uma,Ugnė Uma,0.9565,0.875
oh que sera,Oh Qué Será?,willie colon,Willie Colón,0.9565,0.9167
city talkin,City Talkin',freeze band,Freeze Band,0.9565,1.0
ile de gore,Ile De Gorée,jess sah bi,Jess Sah Bi,0.9565,1.0
condoid tone,Conoid Tone,the higher intelligence agency,Higher Intelligence Agency,0.9565,0.9286
all the people i like are those that are dead,All the People I Like and Those That are Dead,felt,Felt,0.9556,1.0
i feel the rhythm (inner experience revision),I Feel the Rhythm - Inner Experience Revision,ron trent,Ron Trent,0.9556,1.0
stull feels like tears,Still Feels Like Tears,broadcast,Broadcast,0.9545,1.0
"mood i ""l.o.v.e. love""","Mood 1 ""L.O.V.E. Love""",sunbear,Sunbear,0.9545,1.0
la-la-means i love you,La-La Means I Love You,the delfonics,The Delfonics,0.9545,1.0
missing person bureau,Missing Person's Bureau,spanner banner,Spanner Banner,0.9545,1.0
i don't need no doctor,I Don’t Need No Doctor,the village callers,The Village Callers,0.9545,1.0
song for syd barrett,A Song for Syd Barrett,cleaners from venus,The Cleaners From Venus,0.9524,0.9048
siestas ah,Siestas ahí,juana molina,Juana Molina,0.9524,1.0
ms jackson,Ms. Jackson,outkast,Outkast,0.9524,1.0
confidence!,Confidence,mode i/q,Mode I/Q,0.9524,1.0
song for syd barrett,A Song for Syd Barrett,the cleaners from venus,The Cleaners From Venus,0.9524,1.0
flossing time for love,Losing Time For Love,kofi,Kofi,0.9524,1.0
san lorezo,San Lorenzo,pat metheny group,Pat Metheny Group,0.9524,1.0
syrup hands,syruphands,b. cool-aid,B. Cool-Aid,0.9524,1.0
laundrette,Launderette,vivien goldman,Vivien Goldman,0.9524,1.0
i can deal with that,(I Can) Deal with That,dee edwards,Dee Edwards,0.9524,1.0
"ooooh, baby","Oooh, Baby",pamoja,Pamoja,0.9524,1.0
pile driver,Piledriver,dennis the fox,Dennis the Fox,0.9524,1.0
kid's today,Kids Today,molly nilsson,Molly Nilsson,0.9524,1.0
nauscia (love will be revealed),Nausicaä (Love Will Be Revealed),cameron winter,Cameron Winter,0.9524,1.0
don't leave,Dont Leave,zelooperz,Zelooperz,0.9524,1.0
"oh, i've been bless'd","Oh, I've Been Blessed",bobby taylor,Bobby Taylor,0.9524,1.0
bag a wolf,Bag Ah Wolf,prince jazzbo,Prince Jazzbo,0.9524,1.0
da art of storytellin' (part 1),Da Art of Storytellin' (Pt. 1),outkast,Outkast,0.9508,1.0
hare jaya jaya rama,Hare Jaya Jaya Rama I,laraaji,Laraaji,0.95,1.0
"summertime, summertime (hard summer dub)","Summertime, Summertime - Hard Summer Dub",nocera,Nocera,0.95,1.0
alice (isn't playing),Alice Isn't Playing,sad lovers & giants,Sad Lovers & Giants,0.95,1.0
little togetherness,A Little Togetherness,the younghearts,The Younghearts,0.95,1.0
you're a melody (extended disco version),You're a Melody - Extended Disco Version,aged in harmony,Aged In Harmony,0.95,1.0
na real sekele fo ya,Na Real Sekele Fo'Ya,pasteur lappe,Pasteur Lappe,0.95,1.0
"behold these days, berlin '74",Behold These Days (Berlin '74),jazzanova,Jazzanova,0.9492,1.0
from a million miles (extended version),From A Million Miles - Extended Version,single gun theory,Single Gun Theory,0.9487,1.0
rc cola and a moon pie (single version),RC Cola and a Moon Pie - Single Version,nrbq,NRBQ,0.9487,1.0
moonlite (duality/detroit live version),Moonlite - Duality/Detroit Live Version,ian fink,Ian Fink,0.9487,1.0
for belgain friends,For Belgian Friends,the durutti column,The Durutti Column,0.9474,1.0
les fleur,Les Fleurs,minnie ripperton,Minnie Riperton,0.9474,0.9677
txt (msg),Txt (MSGS),mndsgn,Mndsgn,0.9474,1.0
lansaha's priestess,Lansana's Priestess,donald byrd,Donald Byrd,0.9474,1.0
